Area;Profissao;Descricao;Genero_Menos_Representado
Agricultura;Director de produção na agricultura;Dirige produção agrícola.;Feminino
Agricultura;Director de produção animal;Dirige produção animal.;Feminino
Agricultura;Director de produção florestal;Dirige produção florestal.;Feminino
Agricultura;Director de produção na pesca;Dirige produção pesqueira.;Feminino
Agricultura;Consultor de actividades das pescas;Consultor especializado em pescas.;Feminino
Agricultura;Técnico das ciências da vida (excepto ciências médicas);Técnico em ciências biológicas.;Masculino
Agricultura;Técnico agrícola;Técnico em agricultura.;Feminino
Agricultura;Técnico florestal (inclui cinegético);Técnico em florestas.;Feminino
Agricultura;Agricultor e trabalhador qualificado de cereais e outras culturas extensivas;Cultiva cereais e culturas extensivas.;Feminino
Agricultura;Agricultor e trabalhador qualificado de culturas de árvores e arbustos;Cultiva árvores e arbustos.;Feminino
Agricultura;Trabalhador qualificado da jardinagem;Trabalha em jardinagem.;Feminino
Agricultura;Agricultor e trabalhador qualificado de culturas agrícolas mistas;Cultiva diversos produtos agrícolas.;Feminino
Agricultura;Produtor e trabalhador qualificado na produção de bovinos;Produz e cuida de bovinos.;Feminino
Agricultura;Produtor e trabalhador qualificado na produção de ovinos e caprinos;Produz e cuida de ovinos e caprinos.;Feminino
Agricultura;Produtor e trabalhador qualificado na produção de outros animais de carne;Produz outros animais.;Feminino
Agricultura;Sericicultor e trabalhador qualificado da sericicultura;Produz seda.;Masculino
Agricultura;Outros produtores e trabalhadores qualificados da criação animal;Outros profissionais de criação animal.;Feminino
Agricultura;Agricultor e trabalhador qualificado da agricultura e produção animal combinadas, orientados para o mercado;Combina agricultura e produção animal.;Feminino
Agricultura;Motosserrista;Opera motosserra.;Feminino
Agricultura;Sapador florestal;Trabalha em proteção florestal.;Feminino
Agricultura;Outros trabalhadores qualificados da floresta e similares;Outros profissionais florestais.;Feminino
Agricultura;Aquicultor e trabalhador qualificado de aquicultura de águas interiores;Produz organismos aquáticos em águas interiores.;Feminino
Agricultura;Aquicultor e trabalhador qualificado de aquicultura de águas marítimas;Produz organismos aquáticos em águas marítimas.;Feminino
Agricultura;Pescador de águas interiores;Pesca em águas interiores.;Feminino
Agricultura;Mestre, contramestre e arrais, de pesca marítima costeira;Comanda embarcações de pesca costeira.;Feminino
Agricultura;Pescador e marinheiro pescador, de pesca marítima costeira;Pesca em águas costeiras.;Feminino
Agricultura;Outros trabalhadores qualificados de pesca marítima costeira;Outros profissionais de pesca costeira.;Feminino
Agricultura;Mestre, contramestre e arrais, de pesca marítima do largo;Comanda embarcações de pesca do largo.;Feminino
Agricultura;Pescador e marinheiro pescador, de pesca marítima do largo;Pesca em águas do largo.;Feminino
Agricultura;Outros trabalhadores qualificados da pesca marítima do largo;Outros profissionais de pesca do largo.;Feminino
Agricultura;Trabalhador não qualificado da agricultura (exclui horticultura e floricultura);Trabalho agrícola não qualificado.;Feminino
Agricultura;Trabalhador não qualificado da agricultura e produção animal combinadas;Trabalho agrícola e animal não qualificado.;Feminino
Agricultura;Trabalhador não qualificado da floresta;Trabalho florestal não qualificado.;Feminino
Agricultura;Trabalhador não qualificado da aquicultura;Trabalho em aquicultura não qualificado.;Feminino
Agricultura;Operador de máquinas agrícolas e florestais, móveis;Opera máquinas agrícolas.;Feminino
Agricultura;Botânico;Especialista em botânica.;Feminino
Agricultura;Zoólogo;Especialista em zoologia.;Masculino
Agricultura;Farmacologista e outros especialistas relacionados;Especialista em farmacologia.;Masculino
