Area;Profissao;Descricao;Genero_Menos_Representado
Artes;Escultor;Cria esculturas artísticas.;Feminino
Artes;Caricaturista;Desenha caricaturas.;Masculino
Artes;Compositor;Compõe músicas.;Feminino
Artes;Realizador de cinema e teatro;Dirige produções cinematográficas e teatrais.;Feminino
Artes;Encenador de teatro;Encena peças de teatro.;Feminino
Artes;Director de fotografia e de som, montador e relacionados;Dirige fotografia e som.;Feminino
Artes;Disc Jockey;Profissional de música e entretenimento.;Feminino
Artes;Outros professores de arte;Ensina disciplinas artísticas.;Masculino
Artes;Toureiro, cavaleiro tauromáquico e outros profissionais similares;Profissional de tauromaquia.;Feminino
Artes;Designer de têxteis e moda;Designer de moda e têxteis.;Masculino
Artes;Trabalhador qualificado do fabrico e afinação de instrumentos musicais;Fabrica e afina instrumentos.;Feminino
Artes;Joalheiro;Cria peças de joalharia.;Feminino
Artes;Outros ourives e trabalhadores de diamantes industriais;Trabalha metais preciosos.;Feminino
Artes;Soprador de artigos de vidro;Produz artigos em vidro soprado.;Feminino
Artes;Cortador de vidro;Corta e molda vidro.;Feminino
Artes;Polidor e acabador de artigos de vidro;Polimento e acabamento de vidro.;Feminino
Artes;Lapidador e gravador, de vidro, cerâmica e outros materiais;Lapida e grava materiais.;Feminino
Artes;Pintor-decorador de vidro, cerâmica e outros materiais;Pinta e decora materiais artísticos.;Masculino
Artes;Artesão de artigos em madeira;Cria artigos artesanais em madeira.;Feminino
Artes;Artesão de rendas, bordados e tapeçarias, manuais;Cria rendas e bordados artesanais.;Masculino
Artes;Artesão de artigos de couro;Cria artigos artesanais em couro.;Masculino
Artes;Outros trabalhadores manuais de artigos têxteis, couro e materiais similares;Outros artesãos de têxteis.;Masculino
Artes;Outros trabalhadores qualificados do fabrico de instrumentos de precisão, artesãos e similares;Outros artesãos especializados.;Feminino
Artes;Operador de pré-impressão;Prepara material para impressão.;Feminino
Artes;Outros operadores de impressão;Opera máquinas de impressão.;Feminino
Artes;Técnicos de galerias, bibliotecas, arquivos e museus;Trabalha em galerias e museus.;Masculino
Artes;Filólogo;Especialista em linguagem e literatura.;Masculino
