Area;Profissao;Descricao;Genero_Menos_Representado
Educação;Professor dos ensinos básico (2.º e 3.º ciclos) e secundário;Leciona nos ensinos básico e secundário.;Masculino
Educação;Professor do ensino básico (1.º ciclo);Leciona no 1.º ciclo do ensino básico.;Masculino
Educação;Educador de infância;Educador de crianças em idade pré-escolar.;Masculino
Educação;Especialista em métodos de ensino;Especialista em pedagogia.;Masculino
Educação;Professor do ensino especial;Leciona a alunos com necessidades especiais.;Masculino
Educação;Outros professores de línguas;Ensina línguas estrangeiras.;Masculino
Educação;Outros especialistas do ensino;Outros profissionais especializados em ensino.;Masculino
Educação;Director dos serviços de educação;Dirige serviços educativos.;Masculino
Educação;Especialista em formação e desenvolvimento de recursos humanos;Especialista em formação profissional.;Masculino
Educação;Auxiliar de professor;Apoia o professor em sala de aula.;Masculino
Educação;Bibliotecários e outros especialistas de informação relacionados;Profissional de biblioteconomia.;Masculino
Educação;Empregado de biblioteca;Trabalha em biblioteca.;Masculino
Educação;Auxiliar de cuidados de crianças;Cuida de crianças.;Masculino
