Area;Profissao;Descricao;Genero_Menos_Representado
Negócios;Director geral e gestor executivo, de empresas;Gere empresas ao nível executivo.;Feminino
Negócios;Director de recursos humanos;Dirige departamento de recursos humanos.;Masculino
Negócios;Directores de estratégia e planeamento;Planeja estratégias empresariais.;Feminino
Negócios;Director de vendas;Dirige departamento de vendas.;Feminino
Negócios;Directores de investigação e desenvolvimento;Dirige investigação e desenvolvimento.;Feminino
Negócios;Director e gerente do comércio por grosso;Gere comércio por grosso.;Feminino
Negócios;Director e gerente de outros serviços;Gere outros serviços comerciais.;Feminino
Negócios;Especialista em recursos humanos;Especialista em gestão de pessoas.;Masculino
Negócios;Especialista em relações públicas;Gere relações públicas.;Masculino
Negócios;Advogado;Presta serviços jurídicos.;Masculino
Negócios;Solicitador;Presta serviços jurídicos.;Masculino
Negócios;Notário;Presta serviços notariais.;Masculino
Negócios;Outros especialistas em assuntos jurídicos;Outros profissionais jurídicos.;Masculino
Negócios;Técnico de nível intermédio dos serviços jurídicos e relacionados;Técnico de apoio jurídico.;Masculino
Negócios;Secretário da área jurídica;Secretário em contexto jurídico.;Masculino
Negócios;Empregado de escritório em geral;Trabalho administrativo geral.;Masculino
Negócios;Técnico de secretariado;Profissional de secretariado.;Masculino
Negócios;Secretário administrativo e executivo;Secretário em contexto administrativo.;Masculino
Negócios;Empregado de banca nos casinos e outros empregados de apostas;Trabalha em casinos e apostas.;Feminino
Negócios;Penhorista e prestamista;Presta serviços de penhores.;Feminino
Negócios;Empregado das agências de viagem;Trabalha em agências de viagens.;Masculino
Negócios;Pessoal de informação administrativa;Presta informação administrativa.;Masculino
Negócios;Recepcionista, excepto de hotel;Recepciona visitantes.;Masculino
Negócios;Outro pessoal de recepção e de informação a clientes;Outros profissionais de recepção.;Masculino
Negócios;Operador de contabilidade e escrituração comercial;Regista operações contabilísticas.;Masculino
Negócios;Tesoureiro;Gere tesouraria.;Masculino
Negócios;Outros técnicos administrativos de contabilidade;Outros técnicos de contabilidade.;Masculino
Negócios;Operador de dados de processamento de pagamentos;Processa pagamentos.;Masculino
Negócios;Despachante, transitário e similares;Presta serviços de despacho.;Feminino
Negócios;Técnico da área do emprego;Técnico de emprego e formação.;Masculino
Negócios;Carteiro e similares;Distribui correspondência.;Feminino
Negócios;Codificador, revisor de provas e similares;Revê e codifica documentos.;Masculino
Negócios;Escrivão e similares;Profissional de escrita e registo.;Masculino
Negócios;Empregado de serviço de pessoal;Trabalha em serviços de pessoal.;Masculino
Negócios;Outro pessoal de apoio de tipo administrativo;Outros profissionais administrativos.;Masculino
Negócios;Vendedor em loja (estabelecimento);Vende em estabelecimento comercial.;Masculino
Negócios;Operador de caixa;Opera caixa registadora.;Masculino
Negócios;Manequim e outros modelos;Profissional de modelagem.;Masculino
Negócios;Vendedor ao domicílio;Vende porta a porta.;Feminino
Negócios;Empregado de aprovisionamento;Gere aprovisionamento.;Feminino
Negócios;Empregado de armazém;Trabalha em armazém.;Feminino
Negócios;Encarregado de armazém;Supervisiona armazém.;Feminino
Negócios;Tradutor;Traduz textos.;Masculino
Negócios;Intérprete e outros linguistas;Interpreta e trabalha com línguas.;Masculino
Negócios;Controlador de transportes terrestres de passageiros;Controla transportes de passageiros.;Feminino
Negócios;Controlador de transportes terrestres de mercadorias;Controla transportes de mercadorias.;Feminino
