Area;Profissao;Descricao;Genero_Menos_Representado
Saúde;Enfermeiro de cuidados gerais;Prestador de cuidados de saúde gerais a pacientes.;Masculino
Saúde;Enfermeiro especialista em reabilitação;Especializado em reabilitação de pacientes.;Masculino
Saúde;Enfermeiro especialista em saúde infantil e pediátrica;Especializado em cuidados infantis e pediátricos.;Masculino
Saúde;Enfermeiro especialista em saúde mental e psiquiátrica;Especializado em saúde mental e psiquiatria.;Masculino
Saúde;Enfermeiro especialista em enfermagem comunitária;Especializado em enfermagem na comunidade.;Masculino
Saúde;Enfermeiro especialista em enfermagem médico-cirúrgica;Especializado em cuidados médico-cirúrgicos.;Masculino
Saúde;Outros enfermeiros especialistas;Outros especialistas em enfermagem exceto saúde materna.;Masculino
Saúde;Enfermeiro especialista em saúde materna e obstétrica;Especializado em saúde materna e obstetrícia.;Masculino
Saúde;Homeopata;Praticante de homeopatia.;Feminino
Saúde;Profissional paramédico;Profissional de serviços paramédicos.;Masculino
Saúde;Veterinário;Especialista em saúde animal.;Masculino
Saúde;Farmacêutico;Especialista em medicamentos e farmacologia.;Masculino
Saúde;Fisioterapeuta;Especialista em reabilitação física.;Masculino
Saúde;Dietista e nutricionista;Especialista em nutrição e dietas.;Masculino
Saúde;Audiologista;Especialista em audição e distúrbios auditivos.;Masculino
Saúde;Terapeuta da fala;Especialista em perturbações da comunicação.;Masculino
Saúde;Optometrista e óptico oftálmico;Especialista em saúde ocular e óptica.;Masculino
Saúde;Terapeuta ocupacional;Especialista em terapia ocupacional.;Masculino
Saúde;Outros profissionais da saúde diversos;Outros profissionais de saúde não especificados.;Masculino
Saúde;Técnico de cardiopneumografia;Opera equipamento de cardiopneumografia.;Masculino
Saúde;Técnico de radiologia;Opera equipamento de radiologia.;Masculino
Saúde;Técnico de medicina nuclear;Opera equipamento de medicina nuclear.;Masculino
Saúde;Técnico de radioterapia;Opera equipamento de radioterapia.;Masculino
Saúde;Outros técnicos de equipamento de diagnóstico e terapêutico;Opera outros equipamentos de diagnóstico.;Masculino
Saúde;Técnico de análises clínicas;Realiza análises clínicas laboratoriais.;Masculino
Saúde;Técnico de anatomia patológica, citológica e tanatológica;Especialista em anatomia patológica.;Masculino
Saúde;Técnicos e assistentes farmacêuticos;Assistente em farmácia.;Masculino
Saúde;Auxiliar de enfermagem;Auxiliar de cuidados de enfermagem.;Masculino
Saúde;Parteira;Especialista em partos e saúde materna.;Masculino
Saúde;Profissionais de nível intermédio da medicina tradicional e complementar;Praticantes de medicina tradicional.;Masculino
Saúde;Técnico e assistente de veterinários;Assistente de cuidados veterinários.;Masculino
Saúde;Terapeuta e assistente dentário;Profissional de cuidados dentários.;Masculino
Saúde;Técnico de registos médicos e de informação sobre saúde;Gestão de registos médicos.;Masculino
Saúde;Técnico dos serviços de saúde comunitária;Profissional de saúde na comunidade.;Masculino
Saúde;Técnico de contactologia;Especialista em lentes de contacto.;Masculino
Saúde;Técnico e assistente, de fisioterapia e similares;Assistente de fisioterapia.;Masculino
Saúde;Assistente de médicos;Assistente de apoio médico.;Masculino
Saúde;Outros profissionais de nível intermédio da saúde;Outros profissionais de saúde intermédios.;Masculino
Saúde;Secretário da área da medicina;Secretário em contexto médico.;Masculino
Saúde;Auxiliar de saúde;Prestador de cuidados básicos de saúde.;Masculino
Saúde;Ajudante familiar;Profissional de apoio a famílias.;Masculino
Saúde;Outros trabalhadores dos cuidados pessoais e similares nos serviços de saúde;Outros trabalhadores de cuidados pessoais em saúde.;Masculino
