Area;Profissao;Descricao;Genero_Menos_Representado
Serviços;Director dos serviços de cuidados de crianças;Dirige serviços de cuidados infantis.;Masculino
Serviços;Director dos serviços de cuidados a pessoas idosas;Dirige serviços de cuidados a idosos.;Masculino
Serviços;Director dos serviços de apoio social;Dirige serviços de apoio social.;Masculino
Serviços;Oficiais e outros profissionais das forças e serviços de segurança, com funções de comando, direcção ou chefia;Oficiais de forças de segurança.;Feminino
Serviços;Sociólogo;Estuda sociedade e comportamento social.;Masculino
Serviços;Antropólogo e similares;Estuda culturas e sociedades humanas.;Masculino
Serviços;Psicólogo;Especialista em psicologia.;Masculino
Serviços;Especialista do trabalho social;Presta apoio social.;Masculino
Serviços;Ministro de culto;Líder religioso.;Feminino
Serviços;Técnico de nível intermédio de apoio social;Técnico de apoio social.;Masculino
Serviços;Jogador profissional de futebol;Atleta profissional de futebol.;Feminino
Serviços;Ciclista profissional;Competidor de ciclismo.;Feminino
Serviços;Outros atletas e desportistas de competição;Outros atletas profissionais.;Feminino
Serviços;Treinador de desportos;Treina atletas.;Feminino
Serviços;Árbitro (juiz) de desportos;Arbitra competições desportivas.;Feminino
Serviços;Fiscal e cobrador de transportes públicos;Fiscaliza transportes públicos.;Feminino
Serviços;Cabeleireiro e barbeiro;Presta serviços de cabeleireiro.;Masculino
Serviços;Esteticista;Presta serviços de estética.;Masculino
Serviços;Massagista de estética;Presta massagens estéticas.;Masculino
Serviços;Manicura, pedicura e calista;Presta serviços de manicura.;Masculino
Serviços;Outros trabalhadores similares aos esteticistas;Outros profissionais de estética.;Masculino
Serviços;Encarregado de limpeza e de trabalhos domésticos em escritórios, hotéis e outros estabelecimentos;Supervisiona limpeza.;Masculino
Serviços;Governante doméstico;Gere serviços domésticos.;Masculino
Serviços;Porteiro de edifícios;Vigia e gere edifício.;Feminino
Serviços;Astrólogo;Praticante de astrologia.;Masculino
Serviços;Adivinhador e similares;Praticante de adivinhação.;Masculino
Serviços;Pessoal de companhia e ajudantes de quarto;Presta companhia e apoio.;Masculino
Serviços;Agente funerário;Presta serviços funerários.;Feminino
Serviços;Embalsamador;Presta serviços de embalsamamento.;Masculino
Serviços;Instrutor de condução;Ensina condução.;Feminino
Serviços;Outros trabalhadores dos serviços pessoais;Outros profissionais de serviços pessoais.;Masculino
Serviços;Vendedor ambulante de produtos alimentares;Vende alimentos ambulantemente.;Feminino
Serviços;Bombeiro;Combate incêndios.;Feminino
Serviços;Porteiro de hotelaria;Trabalha em recepção de hotel.;Feminino
Serviços;Segurança (vigilante privado), outros porteiros e similares;Presta serviços de segurança.;Feminino
Serviços;Outro pessoal dos serviços de protecção e segurança;Outros profissionais de segurança.;Feminino
Serviços;Trabalhador de limpeza em escritórios, hotéis e outros estabelecimentos;Realiza limpeza.;Masculino
Serviços;Lavadeiro e engomador de roupa;Lava e engoma roupa.;Masculino
Serviços;Lavador de veículos;Lava veículos.;Feminino
Serviços;Lavador de janelas;Lava janelas.;Feminino
Serviços;Outro trabalhador de limpeza manual;Outros trabalhadores de limpeza.;Masculino
Serviços;Ajudante de cozinha;Auxilia na cozinha.;Masculino
Serviços;Prestador de serviços na rua;Presta serviços diversos na rua.;Feminino
Serviços;Vendedor ambulante (excepto de alimentos);Vende produtos ambulantemente.;Feminino
Serviços;Trabalhador da recolha de resíduos;Recolhe resíduos.;Feminino
Serviços;Trabalhador da triagem de resíduos;Faz triagem de resíduos.;Feminino
Serviços;Cantoneiro de limpeza;Limpa vias públicas.;Feminino
Serviços;Empregado de lavabos e similares;Trabalha em lavabos públicos.;Masculino
Serviços;Estafeta;Entrega correspondência e encomendas.;Feminino
Serviços;Bagageiro;Transporta bagagens.;Feminino
Serviços;Auxiliar de apoio administrativo (contínuo);Presta apoio administrativo.;Masculino
Serviços;Distribuidor de mercadorias e similares;Distribui mercadorias.;Feminino
Serviços;Colocador de anúncios (montador de anúncios);Coloca anúncios publicitários.;Feminino
Serviços;Leitor de contadores;Lê contadores de consumo.;Feminino
Serviços;Colector de dinheiro em máquinas de venda automática, parquímetros e similares;Recolhe dinheiro de máquinas.;Feminino
Serviços;Carregador de água e apanhador de lenha;Transporta água e lenha.;Feminino
Serviços;Coveiro;Trabalha em cemitérios.;Feminino
Serviços;Operador de máquinas de lavandaria;Opera máquinas de lavandaria.;Masculino
Serviços;Fiscal e encarregado de portagem;Fiscaliza portagens.;Feminino
Serviços;Supervisor de cargas e descargas;Supervisiona operações de carga.;Feminino
