Area;Profissao;Descricao;Genero_Menos_Representado
Tecnologia;Analista de sistemas;Analisa e desenvolve sistemas informáticos.;Feminino
Tecnologia;Programador de software;Desenvolve software e aplicações.;Feminino
Tecnologia;Programador Web e de multimédia;Desenvolve soluções web e multimédia.;Feminino
Tecnologia;Programador de aplicações;Desenvolve aplicações informáticas.;Feminino
Tecnologia;Outros analistas e programadores, de software e aplicações;Outros profissionais de programação.;Feminino
Tecnologia;Administrador de sistemas;Gere sistemas informáticos.;Feminino
Tecnologia;Especialista de redes informáticas;Especialista em redes de computadores.;Feminino
Tecnologia;Outros especialistas em base de dados e redes;Outros especialistas em bases de dados.;Feminino
Tecnologia;Directores dos serviços das tecnologias da informação e comunicação;Dirige serviços de TIC.;Feminino
Tecnologia;Técnico operador das tecnologias de informação e comunicação (TIC);Opera tecnologias de informação.;Feminino
Tecnologia;Técnico de apoio aos utilizadores das TIC;Suporte técnico aos utilizadores.;Feminino
Tecnologia;Técnico em redes e sistemas de computadores;Técnico de redes informáticas.;Feminino
Tecnologia;Técnico da Web;Especialista em desenvolvimento web.;Feminino
Tecnologia;Técnico de emissões de rádio;Opera equipamento de transmissão de rádio.;Feminino
Tecnologia;Técnico de emissões de televisão;Opera equipamento de transmissão de televisão.;Feminino
Tecnologia;Técnico de gravação audiovisual;Opera equipamento audiovisual.;Feminino
Tecnologia;Técnico de sistemas de comunicações via rádio;Opera sistemas de rádio comunicação.;Feminino
Tecnologia;Técnico de telecomunicações;Especialista em telecomunicações.;Feminino
Tecnologia;Engenheiro electrotécnico;Engenheiro em eletrotecnia.;Feminino
Tecnologia;Engenheiro electrónico;Engenheiro em eletrónica.;Feminino
Tecnologia;Engenheiro de telecomunicações;Engenheiro em telecomunicações.;Feminino
Tecnologia;Técnico de electricidade;Técnico em instalações elétricas.;Feminino
Tecnologia;Técnico de electrónica;Técnico em eletrónica.;Feminino
Tecnologia;Electricista de construções e similares;Instala sistemas elétricos.;Feminino
Tecnologia;Instalador de sistemas solares térmicos;Instala painéis solares térmicos.;Feminino
Tecnologia;Instalador de sistemas solares fotovoltaicos;Instala painéis solares fotovoltaicos.;Feminino
Tecnologia;Instalador de sistemas de bioenergia;Instala sistemas de bioenergia.;Feminino
Tecnologia;Electromecânico, electricista e outros instaladores de máquinas e equipamentos eléctricos;Instala equipamentos elétricos.;Feminino
Tecnologia;Instalador e reparador de linhas eléctricas;Instala e repara linhas elétricas.;Feminino
Tecnologia;Mecânico e reparador de equipamentos electrónicos;Repara equipamentos eletrónicos.;Feminino
Tecnologia;Instalador e reparador, de tecnologias de informação e comunicação;Instala e repara equipamentos TIC.;Feminino
Tecnologia;Técnico de segurança de sistemas electrónicos aeronáuticos;Especialista em segurança aeronáutica.;Feminino
Tecnologia;Técnico de inspecção de veículos;Inspeciona veículos.;Feminino
Tecnologia;Outros técnicos e inspectores de mecânica;Outros inspectores mecânicos.;Feminino
